,artist,firstName,gender,itemInSession,lastName,length,level,location,sessionId,song,userId
21,Rob Zombie,Lily,F,3,Koch,220.13342000000003,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Superbeast,15.0
22,Deadmau5 & Kaskade,Lily,F,4,Koch,595.56526,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,I Remember,15.0
23,,Chloe,F,0,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",606,,49.0
24,Shania Twain,Ryan,M,0,Smith,213.7073,free,"San Jose-Sunnyvale-Santa Clara, CA",607,Don't Be Stupid (You Know I Love You),26.0
25,Los Campesinos,Ryan,M,1,Smith,138.10893000000002,free,"San Jose-Sunnyvale-Santa Clara, CA",607,We throw parties_ you throw knives,26.0
26,Ill Nino,Chloe,F,1,Cuevas,188.9171,paid,"San Francisco-Oakland-Hayward, CA",606,How Can I Live (Spanish version) (Album Version),49.0
27,Mia X,Chloe,F,2,Cuevas,236.09423999999999,paid,"San Francisco-Oakland-Hayward, CA",606,Thugs Like Me,49.0
28,Rage Against The Machine,Chloe,F,3,Cuevas,314.40934,paid,"San Francisco-Oakland-Hayward, CA",606,Killing In The Name,49.0
29,Asia 2001,Chloe,F,4,Cuevas,150.30812,paid,"San Francisco-Oakland-Hayward, CA",606,Epilogue,49.0
30,Muse,Chloe,F,5,Cuevas,228.93669,paid,"San Francisco-Oakland-Hayward, CA",606,Endlessly,49.0
31,,Mohammad,M,0,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",591,,88.0
32,Rise Against,Chloe,F,6,Cuevas,221.17832,paid,"San Francisco-Oakland-Hayward, CA",606,Torches,49.0
33,,Mohammad,M,1,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",591,,88.0
34,,Mohammad,M,2,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",591,,88.0
35,Modest Mouse,Mohammad,M,3,Rodriguez,259.47382999999996,free,"Sacramento--Roseville--Arden-Arcade, CA",591,The Good Times Are Killing Me,88.0
36,Marc Anthony,Chloe,F,7,Cuevas,314.43546000000003,paid,"San Francisco-Oakland-Hayward, CA",606,Te Conozco Bien,49.0
37,Regina Spektor,Chloe,F,8,Cuevas,191.08526,paid,"San Francisco-Oakland-Hayward, CA",606,The Calculation (Album Version),49.0
38,Nina Sky,Tegan,F,0,Levine,101.92934,paid,"Portland-South Portland, ME",611,Goodbye (Interlude),80.0
39,Five Iron Frenzy,Avery,F,0,Watkins,236.09423999999999,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Canada,30.0
40,,Avery,F,1,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,,30.0
41,,Tegan,F,1,Levine,,paid,"Portland-South Portland, ME",611,,80.0
42,Kudai,Avery,F,2,Watkins,256.62649,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Ven,30.0
43,Pulp,Avery,F,3,Watkins,260.8322,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Do You Remember The First Time?,30.0
44,,Tegan,F,2,Levine,,paid,"Portland-South Portland, ME",611,,80.0
45,SinÃÂ©ad O'Connor,Avery,F,4,Watkins,282.51383,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,I Want Your (Hands On Me),30.0
46,Paul Brown,Tegan,F,3,Levine,232.54158999999999,paid,"Portland-South Portland, ME",611,Chill Out,80.0
47,Lasgo,Avery,F,5,Watkins,220.13342000000003,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Something (Radio Edit),30.0
48,Patty Loveless,Tegan,F,4,Levine,188.13342,paid,"Portland-South Portland, ME",611,What's A Broken Heart,80.0
49,Eddie Vedder,Avery,F,6,Watkins,236.30322,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Society,30.0
50,Rogue Wave,Tegan,F,5,Levine,234.13506,paid,"Portland-South Portland, ME",611,Christians In Black,80.0
51,Muse,Avery,F,7,Watkins,304.84853,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Uprising,30.0
52,Amanda Blank,Tegan,F,6,Levine,175.09832,paid,"Portland-South Portland, ME",611,Might Like You Better,80.0
53,The Smiths,Avery,F,8,Watkins,162.24608,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Sheila Take A Bow,30.0
54,Old 97's,Tegan,F,7,Levine,231.28771,paid,"Portland-South Portland, ME",611,Victoria (LP Version),80.0
55,Selena,Avery,F,9,Watkins,316.42077,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Dreaming Of You,30.0
56,Fat Joe,Tegan,F,8,Levine,267.10159,paid,"Portland-South Portland, ME",611,What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version),80.0
57,Stars,Avery,F,10,Watkins,193.33178999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Soft Revolution,30.0
58,James Blunt,Tegan,F,9,Levine,298.4224,paid,"Portland-South Portland, ME",611,Same Mistake  (Album Version),80.0
59,Mayday Parade,Avery,F,11,Watkins,203.28444,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Bruised And Scarred (Album Version),30.0
60,Die Mooskirchner,Tegan,F,10,Levine,169.29914,paid,"Portland-South Portland, ME",611,Frisch und g'sund,80.0
61,Gorillaz,Avery,F,12,Watkins,211.77424,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Rockit,30.0
62,,Tegan,F,11,Levine,,paid,"Portland-South Portland, ME",611,,80.0
63,Toby Keith,Tegan,F,12,Levine,208.48281,paid,"Portland-South Portland, ME",611,Should've Been A Cowboy,80.0
64,Modest Mouse,Avery,F,13,Watkins,284.18567,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Little Motel,30.0
65,Future Rock,Tegan,F,13,Levine,239.90812000000003,paid,"Portland-South Portland, ME",611,Gears,80.0
66,Noel Pointer,Avery,F,14,Watkins,259.7873,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Superwoman (Where Were You When I Needed You) (Digitally Remastered),30.0
67,Callenish Circle,Tegan,F,14,Levine,226.11546,paid,"Portland-South Portland, ME",611,Forgotten,80.0
68,Foo Fighters,Rylan,M,0,George,250.14812,paid,"Birmingham-Hoover, AL",575,Everlong,16.0
69,Portishead,Avery,F,15,Watkins,238.73261000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Hunter,30.0
70,Taylor Swift,Tegan,F,15,Levine,245.36771000000002,paid,"Portland-South Portland, ME",611,The Way I Loved You,80.0
71,J-Live,Rylan,M,1,George,256.93995,paid,"Birmingham-Hoover, AL",575,Longevity,16.0
72,The White Stripes,Avery,F,16,Watkins,110.47138000000001,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Fell In Love With A Girl,30.0
73,Dwight Yoakam,Tegan,F,16,Levine,239.3073,paid,"Portland-South Portland, ME",611,You're The One,80.0
74,The Black Keys,Avery,F,17,Watkins,238.99382999999997,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Lies,30.0
75,Five,Rylan,M,2,George,207.62077,paid,"Birmingham-Hoover, AL",575,Got The Feelin',16.0
76,,Rylan,M,3,George,,paid,"Birmingham-Hoover, AL",575,,16.0
77,Ra,Tegan,F,17,Levine,319.9473,paid,"Portland-South Portland, ME",611,Do You Call My Name,80.0
78,Coolio feat. L.V.,Rylan,M,4,George,241.57995,paid,"Birmingham-Hoover, AL",575,Gangsta's Paradise (LP Version),16.0
79,Paramore,Avery,F,18,Watkins,211.51302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Misery Business (Album Version),30.0
80,Leggo Beast,Avery,F,19,Watkins,321.93261,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Itchy Feet,30.0
81,Nneka,Rylan,M,5,George,226.79465,paid,"Birmingham-Hoover, AL",575,Gypsy,16.0
82,Diam's,Tegan,F,18,Levine,250.72281,paid,"Portland-South Portland, ME",611,Dans Ma Bulle (Edit Radio - Live 2006),80.0
83,Haley Bonar,Rylan,M,6,George,149.26322,paid,"Birmingham-Hoover, AL",575,Give It Up,16.0
84,Mansun,Tegan,F,19,Levine,140.53832,paid,"Portland-South Portland, ME",611,Love Remains (Home Demo),80.0
85,3 Doors Down,Avery,F,20,Watkins,237.13914,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Here Without You,30.0
86,The Corrs,Rylan,M,7,George,168.07138,paid,"Birmingham-Hoover, AL",575,Toss The Feathers (Instrumental) ( LP Version ),16.0
87,Big Tymers,Tegan,F,20,Levine,197.79873,paid,"Portland-South Portland, ME",611,Big,80.0
88,Thursday,Avery,F,21,Watkins,215.37913999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,I Am The Killer (Album Version),30.0
89,Motion City Soundtrack,Rylan,M,8,George,111.49016,paid,"Birmingham-Hoover, AL",575,Don't Call It A Comeback (Album Version),16.0
90,,Rylan,M,9,George,,paid,"Birmingham-Hoover, AL",575,,16.0
91,Usher,Tegan,F,21,Levine,224.10404,paid,"Portland-South Portland, ME",611,Hey Daddy (Daddy's Home),80.0
92,Juanes,Rylan,M,10,George,233.40363,paid,"Birmingham-Hoover, AL",575,No Siento Penas,16.0
93,The Wombats,Avery,F,22,Watkins,164.70158999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Kill The Director [Radio Edit],30.0
94,Katy Perry,Tegan,F,22,Levine,179.40853,paid,"Portland-South Portland, ME",611,I Kissed A Girl,80.0
95,As I Lay Dying,Rylan,M,11,George,231.78404,paid,"Birmingham-Hoover, AL",575,The Darkest Nights,16.0
96,BjÃÂ¶rk,Avery,F,23,Watkins,348.57751,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Undo,30.0
97,The Bobby Fuller Four,Tegan,F,23,Levine,138.60526000000002,paid,"Portland-South Portland, ME",611,I Fought The Law (LP Version),80.0
98,Charly GarcÃÂ­a,Rylan,M,12,George,330.89261,paid,"Birmingham-Hoover, AL",575,Influencia,16.0
99,New Bomb Turks,Tegan,F,24,Levine,60.55138,paid,"Portland-South Portland, ME",611,Too Much,80.0
100,The Black Keys,Tegan,F,25,Levine,196.91057,paid,"Portland-South Portland, ME",611,All Hands Against His Own,80.0
101,PeterLicht,Avery,F,24,Watkins,305.97179,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Blaues Blau,30.0
102,John Mayer,Tegan,F,26,Levine,359.23546,paid,"Portland-South Portland, ME",611,Friends_ Lovers Or Nothing,80.0
103,Stone Temple Pilots,Rylan,M,13,George,255.32036000000002,paid,"Birmingham-Hoover, AL",575,A Song For Sleeping (LP Version),16.0
104,Bad Lieutenant,Avery,F,25,Watkins,266.84036000000003,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Head Into Tomorrow,30.0
105,Lily Allen,Rylan,M,14,George,192.49587,paid,"Birmingham-Hoover, AL",575,Smile Version Revisited (Mark Ronson Remix) (Explicit),16.0
106,Neil Halstead,Tegan,F,27,Levine,294.29506000000003,paid,"Portland-South Portland, ME",611,A Gentle Heart,80.0
107,Juanes,Avery,F,26,Watkins,222.37995,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Un DÃÂ­a Normal,30.0
108,Distance,Rylan,M,15,George,300.87791,paid,"Birmingham-Hoover, AL",575,Ska,16.0
109,Slipknot,Avery,F,27,Watkins,253.98812,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The Heretic Anthem (Album Version),30.0
110,,Kaleb,M,0,Cook,,free,"Yuba City, CA",560,,54.0
111,Franz Ferdinand,Tegan,F,28,Levine,137.56036,paid,"Portland-South Portland, ME",611,Tell Her Tonight,80.0
112,Jedi Mind Tricks,Rylan,M,16,George,232.88117999999997,paid,"Birmingham-Hoover, AL",575,Suicide,16.0
113,Miles Davis,Tegan,F,29,Levine,285.20444,paid,"Portland-South Portland, ME",611,Stella By Starlight,80.0
114,B.o.B,Avery,F,28,Watkins,269.63546,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Nothin' On You [feat. Bruno Mars] (Album Version),30.0
115,The Avett Brothers,Rylan,M,17,George,300.85179,paid,"Birmingham-Hoover, AL",575,I And Love And You,16.0
116,Joshua Bell / Paul Coker,Tegan,F,30,Levine,275.93098,paid,"Portland-South Portland, ME",611,Caprice viennois op.2,80.0
117,Bad Brains,Avery,F,29,Watkins,32.31302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Joshua's Song (1991 Digital Remaster),30.0
118,Shakira ft. Wyclef Jean,Avery,F,30,Watkins,215.90159,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Hips Don't Lie,30.0
119,Band Of Horses,Rylan,M,18,George,321.14893,paid,"Birmingham-Hoover, AL",575,The Funeral (Album Version),16.0
120,Alesana,Tegan,F,31,Levine,185.33831999999998,paid,"Portland-South Portland, ME",611,Ambrosia,80.0
121,Samy Deluxe,Avery,F,31,Watkins,236.77342000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Einfach Ich,30.0
122,Corona,Tegan,F,32,Levine,408.60688999999996,paid,"Portland-South Portland, ME",611,Higher Messiah,80.0
123,The Presets,Avery,F,32,Watkins,267.54567000000003,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,If I Know You,30.0
124,Pixies,Avery,F,33,Watkins,98.92526,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,In Heaven,30.0
125,Existone,Tegan,F,33,Levine,652.30322,paid,"Portland-South Portland, ME",611,Wounded Soul,80.0
126,John Mayer,Avery,F,34,Watkins,258.16771,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Bold As Love,30.0
127,Zakir Hussain,Avery,F,35,Watkins,722.442,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The Great ndian Desert,30.0
128,Jag Panzer,Tegan,F,34,Levine,200.38485,paid,"Portland-South Portland, ME",611,Face Of Fear,80.0
129,Two Door Cinema Club,Tegan,F,35,Levine,189.67465,paid,"Portland-South Portland, ME",611,What You Know,80.0
130,Little Anthony & The Imperials,Tegan,F,36,Levine,127.42485,paid,"Portland-South Portland, ME",611,Hurt,80.0
131,AndrÃÂ©s Cepeda,Avery,F,36,Watkins,211.80036,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Me Lleva Tiempo,30.0
132,Herb Alpert And The Tijuana Brass,Tegan,F,37,Levine,132.80608,paid,"Portland-South Portland, ME",611,So What's New,80.0
133,Ozma,Avery,F,37,Watkins,144.53506000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Flight Of Yuri Gagarin,30.0
134,Ozric Tentacles,Tegan,F,38,Levine,461.21750999999995,paid,"Portland-South Portland, ME",611,Mooncalf,80.0
135,Evanescence,Avery,F,38,Watkins,263.78404,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,My Immortal (Album Version),30.0
136,Weezer,Avery,F,39,Watkins,232.85506,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Velouria,30.0
137,Flying Lotus,Jahiem,M,0,Miles,115.33016,free,"San Antonio-New Braunfels, TX",369,Bad Actors,43.0
138,Ben Folds,Tegan,F,39,Levine,250.87955,paid,"Portland-South Portland, ME",611,Bitches Ain't Shit,80.0
139,matchbox twenty,Avery,F,40,Watkins,229.14567000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Unwell (Album Version),30.0
140,Deftones,Tegan,F,40,Levine,189.75302,paid,"Portland-South Portland, ME",611,Feiticeira (LP Version),80.0
141,,Chloe,F,0,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",615,,49.0
142,,Chloe,F,1,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",615,,49.0
143,,Aleena,F,0,Kirby,,paid,"Waterloo-Cedar Falls, IA",536,,44.0
144,Silverchair,Avery,F,41,Watkins,319.13751,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Without You (Album Version),30.0
145,Muse,Tegan,F,41,Levine,258.06322,paid,"Portland-South Portland, ME",611,Map Of The Problematique,80.0
146,Zen CafÃÂ©,Avery,F,42,Watkins,259.02975,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Kotona kaikuu,30.0
147,Mariah Carey / Twista,Tegan,F,42,Levine,194.7424,paid,"Portland-South Portland, ME",611,One And Only,80.0
148,,,,2,,,paid,,615,,
149,Strike Anywhere,Avery,F,43,Watkins,120.00608000000001,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Gunpowder,30.0
150,Tri Sestry,Avery,F,44,Watkins,97.72363,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Had Stupid,30.0
151,Don Williams,Avery,F,45,Watkins,191.03302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,If Hollywood Don't Need You,30.0
152,The Nerves,Avery,F,46,Watkins,92.86485,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Are You Famous?,30.0
153,Ulf Wakenius,Avery,F,47,Watkins,324.15302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Good Morning Susie Soho,30.0
154,The Kooks,Avery,F,48,Watkins,168.72444,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,She Moves In Her Own Way,30.0
155,New Radicals,Avery,F,49,Watkins,300.82567,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,You Get What You Give,30.0
156,Wolfmother,Avery,F,50,Watkins,333.7922,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Where Eagles Have Been,30.0
157,The Shins,Avery,F,51,Watkins,225.61914,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Spilt Needles (Album),30.0
158,Nickel Creek,Avery,F,52,Watkins,248.58077000000003,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Reasons Why,30.0
159,Pigeon John,Avery,F,53,Watkins,180.00933999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Crazy,30.0
160,Eels,Avery,F,54,Watkins,211.48689,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Love Of The Loveless,30.0
161,Harmonia,Avery,F,55,Watkins,655.77751,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Sehr kosmisch,30.0
162,Marina And The Diamonds,Avery,F,56,Watkins,182.59546,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Oh No! (album version),30.0
163,Eminem,Avery,F,57,Watkins,284.86485,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The Real Slim Shady,30.0
164,Hassisen Kone,Avery,F,58,Watkins,162.61178999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,REIPPAINA KÃÂYMME REKKAIN ALLE,30.0
165,Dwight Yoakam,Avery,F,59,Watkins,239.3073,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,You're The One,30.0
166,Sunlounger,Avery,F,60,Watkins,594.15465,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,White Sand,30.0
167,Youssou N'Dour,Avery,F,61,Watkins,238.39302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Tan bi (Heat_ Breeze_ Tenderness) / Chaleur_ brise_ tendress,30.0
168,The Decemberists,Avery,F,62,Watkins,209.08363,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Red Right Ankle,30.0
169,The Ruts,Avery,F,63,Watkins,185.75628,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Savage Circle,30.0
170,Adrian Legg,Avery,F,64,Watkins,122.77506000000001,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The One-Eyed Turk,30.0
171,,Avery,F,65,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,,30.0
172,Bedrock,Avery,F,66,Watkins,664.0322,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Set In Stone,30.0
173,Prince & The Revolution,Kate,F,0,Harrell,280.00608,paid,"Lansing-East Lansing, MI",605,Let's Go Crazy (LP Version),97.0
174,The Zombies,Kate,F,1,Harrell,157.33506,paid,"Lansing-East Lansing, MI",605,She's Coming Home,97.0
175,Portishead,Kate,F,2,Harrell,238.0273,paid,"Lansing-East Lansing, MI",605,Numb,97.0
176,Jack Johnson,Avery,F,67,Watkins,212.68853,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Breakdown,30.0
177,Justice,Kate,F,3,Harrell,205.50485,paid,"Lansing-East Lansing, MI",605,Let There Be Lite (Album Version),97.0
178,Snow Patrol,Avery,F,68,Watkins,223.18975,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Set Down Your Glass,30.0
179,,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",613,,26.0
180,Lemon Jelly,Kate,F,4,Harrell,238.47137999999998,paid,"Lansing-East Lansing, MI",605,Nice Weather For Ducks,97.0
181,The Lucksmiths,Avery,F,69,Watkins,153.70404,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Tale Of Two Cities,30.0
182,Ben Kweller,Kate,F,5,Harrell,188.60363,paid,"Lansing-East Lansing, MI",605,Magic,97.0
183,Fedde le Grand Pres. Flamingo,Avery,F,70,Watkins,396.32934,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Take No Shhh (Original Mix),30.0
184,Rodrigo y Gabriela,Kate,F,6,Harrell,233.40363,paid,"Lansing-East Lansing, MI",605,VIKING MAN,97.0
185,Black Eyed Peas,Kate,F,7,Harrell,289.12281,paid,"Lansing-East Lansing, MI",605,I Gotta Feeling,97.0
186,Five Iron Frenzy,Avery,F,71,Watkins,236.09423999999999,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Canada,30.0
187,Creedence Clearwater Revival,Ava,F,0,Robinson,164.57098,free,"New Haven-Milford, CT",598,Down On The Corner,50.0
188,Kings Of Leon,Ava,F,1,Robinson,186.69669,free,"New Haven-Milford, CT",598,Camaro,50.0
189,Fireflight,Avery,F,72,Watkins,201.16853,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Unbreakable,30.0
190,Steppenwolf,Kate,F,8,Harrell,208.14321999999999,paid,"Lansing-East Lansing, MI",605,Born To Be Wild,97.0
191,New Found Glory,Ava,F,2,Robinson,222.69342000000003,free,"New Haven-Milford, CT",598,the king of wishful thinking,50.0
192,,Devin,M,0,Larson,,free,"Tampa-St. Petersburg-Clearwater, FL",531,,60.0
193,The Pussycat Dolls,Avery,F,73,Watkins,221.1522,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Elevator,30.0
194,Eric Clapton,Kate,F,9,Harrell,208.48281,paid,"Lansing-East Lansing, MI",605,Willie And The Hand Jive,97.0
195,Josh Groban,Devin,M,1,Larson,260.70159,free,"Tampa-St. Petersburg-Clearwater, FL",531,Little Drummer Boy [featuring guitarist Andy McKee] (Album Version),60.0
196,The Dresden Dolls,Avery,F,74,Watkins,286.40608,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Coin-Operated Boy,30.0
197,Pixies,Kate,F,10,Harrell,229.3024,paid,"Lansing-East Lansing, MI",605,Where Is My Mind?,97.0
198,Creedence Clearwater Revival,Devin,M,2,Larson,271.882,free,"Tampa-St. Petersburg-Clearwater, FL",531,I Put A Spell On You,60.0
199,The Smiths,Kate,F,11,Harrell,123.01016000000001,paid,"Lansing-East Lansing, MI",605,Girlfriend In A Coma,97.0
200,Danger Doom,Avery,F,75,Watkins,187.27138,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,No Names (Black Debbie) (Album Version),30.0
201,Taylor Swift,Kate,F,12,Harrell,233.89995,paid,"Lansing-East Lansing, MI",605,Love Story,97.0
202,Vilma Palma e Vampiros,Avery,F,76,Watkins,281.99138,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,La pachanga,30.0
203,Busta Rhymes feat. Pharrell,Kate,F,13,Harrell,220.47302000000002,paid,"Lansing-East Lansing, MI",605,Light Your Ass On Fire,97.0
204,Little People,Avery,F,77,Watkins,230.1122,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Above The Clouds,30.0
205,Dwight Yoakam,Kate,F,14,Harrell,239.3073,paid,"Lansing-East Lansing, MI",605,You're The One,97.0
206,Amy Winehouse,Avery,F,78,Watkins,164.85832,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,He Can Only Hold Her,30.0
207,Ernie K-Doe,Kate,F,15,Harrell,160.96608,paid,"Lansing-East Lansing, MI",605,Te-Ta-Te-Ta-Ta (2002 Digital Remaster),97.0
208,Alesana,Avery,F,79,Watkins,242.49424,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Congratulations_ I Hate You,30.0
209,Dwight Yoakam,Kate,F,16,Harrell,239.3073,paid,"Lansing-East Lansing, MI",605,You're The One,97.0
210,Gazpacho,Avery,F,80,Watkins,253.51791,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Premonicion,30.0
211,Black Lips,Kate,F,17,Harrell,162.76853,paid,"Lansing-East Lansing, MI",605,Lock and Key,97.0
212,Kanye West,Kate,F,18,Harrell,311.84934,paid,"Lansing-East Lansing, MI",605,Stronger,97.0
213,Arcade Fire,Avery,F,81,Watkins,136.69832,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Neon Bible,30.0
214,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Avery,F,82,Watkins,277.15873,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),30.0
215,Fanfarlo,Kate,F,19,Harrell,270.78485,paid,"Lansing-East Lansing, MI",605,I'm a Pilot,97.0
